task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2734	05/76f164	4685967	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:26:49.509	11m 35s	3m 28s	239.4%	6.4 GB	22.3 GB	2.2 GB	1.1 GB
2738	06/ca47aa	4686014	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:32:09.533	11m 6s	2m 52s	204.0%	6 GB	20.3 GB	2.2 GB	1.1 GB
2760	c7/e58455	4686217	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:56:44.668	12m 25s	3m	224.8%	6.4 GB	20 GB	2.1 GB	1 GB
2732	62/b3e4ca	4686005	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:31:09.675	11m 40s	2m 50s	213.0%	6.3 GB	20 GB	2.1 GB	1 GB
2739	2a/1b8a76	4685998	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:29:50.300	14m 59s	6m 1s	131.7%	6.4 GB	19.8 GB	2.1 GB	1.1 GB
2753	11/70b34c	4685962	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:25:55.098	11m 24s	2m 50s	203.4%	6.4 GB	21.3 GB	2.1 GB	1 GB
2762	f0/c77817	4685968	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:26:49.950	11m 19s	3m	201.0%	6.3 GB	19.8 GB	2.2 GB	1.1 GB
2747	68/c2d735	4686009	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:31:10.596	12m 4s	2m 54s	208.7%	6 GB	20.3 GB	2.2 GB	1.1 GB
2741	7a/741e67	4685958	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:25:11.279	11m 59s	2m 56s	179.4%	6.4 GB	20.2 GB	2.1 GB	1 GB
2763	63/a608c0	4685979	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:28:05.462	11m 4s	2m 59s	216.3%	6.4 GB	20.3 GB	2.1 GB	1 GB
2757	b7/58e062	4685970	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:27:09.630	11m 20s	2m 58s	174.8%	6.4 GB	20 GB	2.2 GB	1.1 GB
2770	d3/d7a121	4685984	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:28:10.976	11m 59s	3m 3s	235.8%	6.4 GB	20.2 GB	2.1 GB	1 GB
2765	60/a63720	4686020	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:32:44.590	14m 25s	4m 47s	171.9%	6.4 GB	20.1 GB	2.2 GB	1.1 GB
2766	bc/12fe48	4685946	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:24:14.546	11m 10s	2m 24s	74.0%	4.3 GB	19.5 GB	427.4 MB	191.7 MB
2768	6a/bff14c	4685978	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:28:05.030	11m 4s	2m 58s	202.7%	6.4 GB	20.3 GB	2.1 GB	1 GB
2767	ca/d14dce	4685982	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:28:10.465	8m 54s	20.9s	446.7%	3.7 GB	20 GB	231.5 MB	93.5 MB
2761	7b/0118c6	4685997	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:29:50.081	12m 19s	3m 12s	177.0%	5.8 GB	20 GB	2.1 GB	1 GB
2776	16/858e69	4686818	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:15:20.119	13m 35s	3m 22s	250.6%	5.5 GB	35.7 GB	6.5 GB	3.4 GB
2695	cc/c53ab2	4686832	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:16:40.063	13m 30s	3m 2s	252.4%	5.4 GB	34.5 GB	6 GB	3 GB
