N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4Mhg38.nf` [sleepy_poitras] - revision: 7b5debd944
[12/87277f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e2/169d54] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[25/4525bd] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[90/8c70fa] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[6f/615796] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f7/f62a65] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[49/829f7c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[9a/f7d950] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d3/7d4a14] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[93/3bf4ef] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[03/0f3a50] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[90/11b8f8] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4c/8eb87f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b0/8ce53f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b3/0ca91d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[81/540ae1] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[12/4259aa] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
